heat_top_hat/cooled,heat_top_hat/middle,heat_top_hat/measure,heat_top_hat/1mmAbove,heat_top_hat/cooled_1mm_above
1071.297827565476,1097.6282587848887,1105.2624728525943,1104.5368113068987,1069.613616887055
1069.9569842756373,1096.775207961916,1104.5659992904918,1103.8176485241893,1068.2676370041295
1068.6052582986676,1095.9083609772147,1103.8553788068702,1103.0842305175581,1066.9115229896888
1067.2427722029774,1095.0276890884104,1103.1305310919056,1102.3364957080823,1065.54536870812
1065.869990270523,1094.1333800824523,1102.391552257069,1101.574564728764,1064.1696111500414
1064.4873767832626,1093.2256217462887,1101.638538413834,1100.798558212605,1062.784687306074
1063.0950384935124,1092.3043643886988,1100.87138754466,1100.0083927730398,1061.3906762883964
1061.694152522647,1091.3702674299182,1100.09058848737,1099.2045935558515,1059.988728777495
1060.2848279617108,1090.4232845498543,1099.296042780704,1098.3870807317126,1058.5789260644387
1058.867165259527,1089.4633562315419,1098.4876378850306,1097.555760426764,1057.1613413955415
1057.4423545010793,1088.4911616909478,1097.6658837561804,1096.7111788540358,1055.7371375186815
1056.0104981172972,1087.5066446379928,1096.830671336977,1095.8532456042465,1054.306389523402
1054.5720603901377,1086.5099928596255,1095.982096738893,1094.982081310399,1052.8695344003231
1053.1275056015584,1085.501394142794,1095.1202560734005,1094.0978066054945,1051.4270091400645
1051.6769260724668,1084.4807735564932,1094.2450197568264,1093.2003107552007,1049.978879450621
1050.2215287380268,1083.4488413851655,1093.3569319561213,1092.2901738479222,1048.5263237159188
1048.761407306903,1082.4055256842964,1092.4558664470305,1091.3672884594775,1047.0694089277722
1047.2966506496653,1081.3507428511446,1091.541683714425,1090.4315341095676,1045.6081976137525
1045.8284729587738,1080.285220657865,1090.6149478619918,1089.4835104711883,1044.1438748542919
1044.356964135935,1079.2088783439674,1089.6755226601967,1088.5231002815335,1042.6765041251224
1042.882588463105,1078.121903696398,1088.7235042205107,1087.5504241736028,1041.2065224168625
1041.405810222242,1077.024484502107,1087.758988654406,1086.565602780399,1039.7343667201321
1039.9267149110997,1075.916523667595,1086.7818203870715,1085.5684999966543,1038.2600964997714
1038.4465240621198,1074.7987761869279,1085.7925957645969,1084.5597468997328,1036.7849035210886
1036.965323609843,1073.671147568461,1084.7911623747273,1083.5392104474286,1035.3088476376709
1035.483198454842,1072.5335332009688,1083.7773553018285,1082.5067455298336,1033.8319878193768
1034.0013716805422,1071.3867032582127,1082.7517896474592,1081.4630013262513,1032.355517157136
1032.5199282676806,1070.2305555865787,1081.714303584717,1080.4078356971756,1030.8794946738951
1031.039332498215,1069.0652779730156,1080.664993225075,1079.341369275609,1029.4043573602742
1029.5600486541027,1067.8910582044725,1079.6039546800052,1078.2637226945535,1027.9305422068921
1028.0821630182006,1066.7077801022492,1078.5310079585486,1077.1747364546347,1026.4581095964627
1026.6068965037161,1065.5162372154507,1077.446798435951,1076.0750886685169,1024.988250353619
1025.1343348793207,1064.3163155825935,1076.3511490869482,1074.9646226527993,1023.5210243547494
1023.6645666838482,1063.107892661262,1075.2438711703953,1073.843170644798,1022.0564941730306
1022.198808675174,1061.8917748722356,1074.1256276357349,1072.7114273764582,1020.5958465878284
1020.7371485213248,1060.6678417460737,1072.9962326336927,1071.5692278084096,1019.1391433303363
1019.2799582915236,1059.4362817572328,1071.8558090755118,1070.4167124185753,1017.6867343005766
1017.8272412040552,1058.1972861302027,1070.70458707152,1069.2541010645687,1016.2386210361854
1016.3785380212589,1056.9507268081775,1069.5425247734986,1068.0813320364612,1014.7943488531367
1014.9345013233411,1055.6974338599557,1068.3704740080439,1066.8992454304073,1013.3545715056241
1013.4946707616224,1054.437281058671,1067.1883955928472,1065.7077820291508,1011.9188332426928
1012.0585902950589,1053.1701351520696,1065.996240075974,1064.5068730123708,1010.486682449941
1010.6269060422663,1051.8968367472573,1064.7948746887896,1063.2973728811287,1009.058766676601
1009.19916091954,1050.6172542745094,1063.584252447934,1062.0792151236558,1007.634633307056
1007.7752659324296,1049.3315796458237,1062.3646302635048,1060.8526394424866,1006.2141967883449
1006.3551320864856,1048.0400047731982,1061.136265045601,1059.6178855401554,1004.797371567506
1004.9383082124425,1046.742388728358,1059.8990959854748,1058.3748739735843,1003.3837107078921
1003.5254305714326,1045.4395877161257,1058.6540133570002,1057.1244807962012,1001.9738522937062
1002.1160470654562,1044.1314622450805,1057.4009584911214,1055.8666285666277,1000.5673484966064
1000.7097091749644,1042.8178673708574,1056.139864554164,1054.6012322044362,999.163754923818
999.3070477932973,1041.499667477869,1054.8716340671901,1053.3291792218722,997.7637045060835
997.9076135405302,1040.1767189111945,1053.5962021388807,1052.0503863560884,996.3667520246483
996.5113174222125,1038.8492135828308,1052.313825679334,1050.7650933096188,994.9728119265511
995.1180704438957,1037.5173434047776,1051.0247615986507,1049.4735397849988,993.5817986588313
993.727428046342,1036.18095772218,1049.728934337573,1048.1756325340382,992.1932716302487
992.3400130883426,1034.8409325861048,1048.4272641972107,1046.8722757113617,990.8078560589554
990.95538026421,1033.497118385466,1047.1196772317805,1045.5633775795054,989.4251106372527
