heat_double_sin/cooled,heat_double_sin/middle,heat_double_sin/measure,heat_double_sin/1mmAbove,heat_double_sin/cooled_1mm_above
1123.1648332827508,1123.1543091047047,1123.1515145350168,1123.15148434687,1123.1645309439314
1123.161156309721,1123.1532409350993,1123.1511391019785,1123.1511163970708,1123.160928916664
1123.1574524674886,1123.1521649599254,1123.1507609254918,1123.1507457585067,1123.1573005678547
1123.1537307121996,1123.151083780965,1123.1503809200135,1123.1503733274062,1123.1536546711004
1123.15,1123.1500000000003,1123.15,1123.15,1123.15
1123.1462683326772,1123.14891594157,1123.149618982465,1123.1496265770163,1123.146344393244
1123.1425465785346,1123.1478347629425,1123.1492389771038,1123.1492541460304,1123.1426984976129
1123.138842738213,1123.146758788324,1123.1488608008121,1123.1488835076575,1123.1390701506753
1123.1351648306993,1123.1456903472488,1123.1484852723597,1123.148515464346,1123.1354672079708
1123.1315236967766,1123.1446325889913,1123.1481134986318,1123.1481511009188,1123.1319002893217
1123.1279273474065,1123.1435878407551,1123.1477462975781,1123.147791219022,1123.128377242405
1123.124384738735,1123.1425587043227,1123.1473845836558,1123.1474367148855,1123.1249068408197
1123.1209048269081,1123.1415477814758,1123.147029271322,1123.147088484739,1123.1214978581625
1123.1174957054411,1123.140557423401,1123.146681186955,1123.1467473384896,1123.1181582229835
1123.1141680775258,1123.1395907394005,1123.146341423392,1123.1464143471912,1123.114898420317
1123.1109300171865,1123.1386500749995,1123.1460108050214,1123.1460903188013,1123.111726359619
1123.1077896901763,1123.1377378023676,1123.1456901655986,1123.1457760704554,1123.1086500402043
1123.1047576620913,1123.136856990837,1123.1453805839112,1123.145472659439,1123.105679812316
1123.101842072313,1123.1360100049174,1123.145082891021,1123.1451809002492,1123.1028236494353
1123.0990518769893,1123.1351994463919,1123.1447980013852,1123.1449016891154,1123.1000903251609
1123.0963960322647,1123.134427917042,1123.1445268294606,1123.1446359222673,1123.0974886130903
1123.0938828701487,1123.133697837337,1123.1442702259767,1123.1443844334779,1123.0950266754048
1123.0915226351908,1123.133012183343,1123.144029236942,1123.1441482479058,1123.092714547846
1123.0893236215638,1123.1323733645377,1123.143804709223,1123.143928195538,1123.0905603555302
1123.0872942885533,1123.1317838383643,1123.1435975065456,1123.1437251228836,1123.0885723853225
1123.0854446330347,1123.1312465089386,1123.1434086496283,1123.1435400303164,1123.0867604303369
1123.083783069579,1123.130763820715,1123.1432389976314,1123.143373759872,1123.085132733635
1123.0823185543322,1123.130338375475,1123.1430894650123,1123.14322720778,1123.083698068814
1123.0810600434402,1123.129972775001,1123.1429609662273,1123.1431012702697,1123.082465209472
1123.0800162541714,1123.1296695516808,1123.1428543913426,1123.1429968196662,1123.0814426951983
1123.0791966789002,1123.1294314630716,1123.1427707095663,1123.1429148058592,1123.0806398248887
1123.0786099787156,1123.1292610252415,1123.1427108052292,1123.1428560955524,1123.0800650830986
1123.0782650532,1123.1291608235406,1123.142675587012,1123.1428215793148,1123.079727188014
1123.0781710369783,1123.1291335115995,1123.1426659875951,1123.1428121712363,1123.0796350880744
