cooledVariable,middle,measureVariable,1mmAbove,1mmbelov
1123.1267675607228,1123.1330122476204,1123.126926959471,1123.1436598456255,1123.1443960830482
1123.1278939872398,1123.1338364343974,1123.1280456525142,1123.1439674479077,1123.144667965646
1123.1291558178152,1123.1347596694623,1123.12929882023,1123.144312016907,1123.144972522277
1123.130556900939,1123.1357847679487,1123.1306902846936,1123.144694603285,1123.1453106815966
1123.1320999919435,1123.1369137451882,1123.1322227823275,1123.1451159592018,1123.145683108422
1123.1337889033198,1123.138149389981,1123.1339000994546,1123.1455771254919,1123.1460907227224
1123.1356275968983,1123.13949460037,1123.1357261707126,1123.1460791837594,1123.1465344805035
1123.1376186039975,1123.14095122782,1123.1377035100477,1123.1466228250072,1123.1470149925265
1123.1397658477817,1123.1425221420893,1123.139836013697,1123.1472091202836,1123.1475332054665
1123.1420728000592,1123.1442098827165,1123.142127129639,1123.147839017393,1123.1480899570658
1123.1445429326384,1123.14601698924,1123.144580305854,1123.1485134641398,1123.1486860850678
1123.1471804140222,1123.147946510883,1123.1471996822331,1123.1492335985529,1123.149322595349
1123.149987366628,1123.1500000000003,1123.149987366628,1123.15,1123.15
1123.1529631867322,1123.1521771176556,1123.1529427547766,1123.150812304984,1123.150717961476
1123.1560885174006,1123.1544642181523,1123.1560465991768,1123.1516642349382,1123.151470848956
1123.1593368505664,1123.156842526758,1123.1592725456228,1123.1525473613165,1123.152251115132
1123.1626840653003,1123.159295015402,1123.1625966106446,1123.1534539067318,1123.1530517881895
1123.1661052587106,1123.1618040838766,1123.1659940341817,1123.1543758804464,1123.1538657077515
1123.169575527907,1123.1643521319768,1123.169440056175,1123.1553052917236,1123.1546857134417
1123.1730708656028,1123.1669222185462,1123.1729108058448,1123.156234386877,1123.1555048537948
1123.1765645743246,1123.1694954239922,1123.1763797411656,1123.157154697859,1123.156315547587
1123.1800326437854,1123.1720548039386,1123.179822988425,1123.1580584721469,1123.157110844544
1123.1834510374397,1123.1745833998511,1123.183216647602,1123.1589379402833,1123.1578837786246
1123.1867930972026,1123.177062313375,1123.1865342161345,1123.1597846596244,1123.158626792258
1123.1900348026563,1123.1794745962752,1123.1897518100875,1123.1605908680147,1123.1593329260934
1123.1931512509111,1123.181802648345,1123.1928446694014,1123.1613485747184,1123.1599950197547
1123.1961175390763,1123.1840288693782,1123.1957880340171,1123.1620497889971,1123.160605912865
1123.1989094543194,1123.186136181747,1123.1985578283864,1123.16268667419,1123.1611585784215
1123.2015006592496,1123.1881059027535,1123.2011278693044,1123.1632509118315,1123.1616455716091
1123.2038669890428,1123.1899209875983,1123.2034741290063,1123.1637346827922,1123.1620598812829
1123.2059840485722,1123.1915642331164,1123.205572350545,1123.1641300855333,1123.1623944218604
1123.2078258459078,1123.193017194166,1123.2073966944952,1123.164428925206,1123.1626418601857
1123.2093680530584,1123.1942627139301,1123.2089229707115,1123.164623323941,1123.162795132034
1123.2105857671343,1123.1952831922026,1123.210126419134,1123.1647052910014,1123.1628470770295
1123.2114540852438,1123.1960610287765,1123.2109822797029,1123.1646668356502,1123.1627905347943
1123.2119481809227,1123.1965787211354,1123.2114658663568,1123.1644999073053,1123.1626182854511
1123.2120428930375,1123.1968184003088,1123.2115521662033,1123.1641965989752,1123.1623232552688
1123.21171349414,1123.1967626326602,1123.2112165916794,1123.1637488939775,1123.1618982548941
1123.2109348224333,1123.196393681975,1123.210434123165,1123.163148627747,1123.1613359618655
1123.2096823683175,1123.1956941331573,1123.2091803958647,1123.162388115119,1123.1606295021172
1123.2079310881413,1123.1946463323925,1123.2074305076756,1123.1614592315666,1123.1597715892133
1123.2056560790138,1123.1932326794747,1123.2051596985377,1123.1603539863527,1123.1587550627773
1123.2028324380442,1123.1914355741972,1123.2023432083918,1123.1590643887398,1123.157572762432
1123.1994343170472,1123.1892368007357,1123.1989553349147,1123.1575820432804,1123.1562171580852
1123.1954385473234,1123.1866198806845,1123.1949730470221,1123.1558997163472,1123.1546817817682
1123.1908194307107,1123.1835667031496,1123.190370791604,1123.1540090627595,1123.1529591485798
1123.1855506306567,1123.1800587104503,1123.1851223806207,1123.1519015239803,1123.1510415818414
1123.179609936066,1123.1760800943737,1123.1792057354016,1123.1495701864208,1123.1489229012548
1123.172971179539,1123.1716124156878,1123.1725948361386,1123.1470065479496,1123.1465954808336
1123.1656094581847,1123.1666380741876,1123.1652649227728,1123.1442026178297,1123.144052160201
1123.1574998691117,1123.1611394696654,1123.1571912352433,1123.1411504053235,1123.14128577898
1123.1486151343286,1123.1550973845744,1123.1483466492202,1123.1378410391726,1123.1382883795266
1123.1389348937423,1123.148497307906,1123.1387109269199,1123.1342682210052,1123.1350543343094
1123.12843207039,1123.1413201630917,1123.1282571439388,1123.1304231461952,1123.1315757455418
1123.1170787448782,1123.1335462825696,1123.1169575380723,1123.1262967312905,1123.1278444649906
1123.104855820789,1123.1251620418407,1123.1047931282656,1123.1218830961682,1123.1238552408006
1123.091735598887,1123.1161479278414,1123.0917363712606,1123.1171732301466,1123.1195999900967
1123.0776931762814,1123.1064863403656,1123.0777625069973,1123.1121591424887,1123.1150715525023
1123.0627036500823,1123.0961596792072,1123.0628467754168,1123.1068328424585,1123.110262767641
1123.0467379044014,1123.0851474366764,1123.0469602244327,1123.1011848520393,1123.1051651329772
1123.029779203928,1123.073437645998,1123.0300862210556,1123.0952100700056,1123.0997740960947
1123.0117986848131,1123.0610099765122,1123.0121960638435,1123.0888991013423,1123.0940812289825
1122.992766436732,1123.0478433623575,1122.9932600106783,1123.0822422067354,1123.0880777945151
1122.972641182694,1123.033903717237,1122.973236935084,1123.0752161499995,1123.081741943702
1122.951262726411,1123.0190540541034,1122.951967091944,1123.067718023867,1123.0749762181683
1122.9284494964356,1123.003137438669,1122.9292693940072,1123.0596279290899,1123.0676668960114
