cooled,middle,measure,1mmAbove,1mmbelov
791.6587390840184,833.7887276324207,847.8334981033163,846.78324173376,848.8837560205766
790.3183835907444,832.4468513859496,846.4915351728811,845.4413279456651,847.5417443992288
788.9784080522184,831.1054047495209,845.1499892661485,844.0998277348474,846.2001532167382
787.6384643961791,829.7640406765913,843.8085144183559,842.7583952256545,844.8586364200248
786.2985476206512,828.422755586326,842.4671081509279,841.4170280155963,843.5171914551004
784.9586527236586,827.0815458978907,841.1257679852887,840.0757237021837,842.1758157679772
783.6184316742326,825.740064686072,839.7841480620265,838.7341365100737,840.8341634159203
782.2785655307844,824.3989950758039,838.4429326795764,837.3929507970481,839.492918638537
780.938706258664,823.0579901239445,837.1017759625546,836.0518207725842,838.1517354763369
779.59850583026,821.7167029535705,835.760332095659,834.7104007031918,836.810268032932
778.2586452934275,820.3758165902865,834.4192852872012,833.3693748611026,835.4692004532743
776.9187766207158,819.0349841419901,833.0782897078111,832.0283974994917,834.1281868261822
775.5788948101497,817.6942020278467,831.7373428789138,830.6874662158692,832.7872245976675
774.2389948597533,816.3534666670216,830.3964423219331,829.3465786077459,831.4463112137422
772.8987287218952,815.0124312447351,829.055242282389,828.0053889990803,830.1051008421816
771.5587774780665,813.6717786577206,827.7144268437769,826.6645815441307,828.7642774963418
770.2187930872004,812.3311620806031,826.3736502407212,825.3238105565962,827.4234953324735
768.8784274742834,810.990234724888,825.0325667476194,823.9827303875246,826.082408549004
767.5383617717284,809.6496794319888,823.691860388307,822.6420251351515,824.7417010960238
766.1982479149287,808.3091494055661,822.3511854281903,821.3013491421101,823.4010271623974
764.8580809019091,806.9686410647854,821.0105393886944,819.9607000059113,822.0603841941371
763.5178557306937,805.6281508288116,819.6699197912435,818.620075324065,820.7197696372547
762.1772242550195,804.2873319346184,818.3289809456714,817.2791294804617,819.3788377281824
760.836867743395,802.9468671680978,816.9884068017682,815.9385465045756,818.0382723377307
759.4964380663679,801.6064097629637,815.6478516635495,814.5979807749588,816.6977276960394
758.155587019554,800.2656129604679,814.3069698544955,813.2570866878257,815.3568580544968
756.8149959838611,798.9251595351947,812.9664452951994,811.9165482461563,814.0163472520388
755.4743167755581,797.5847027278866,811.6259323052273,810.5760198426725,812.6758495357233
754.1335443926691,796.244238957709,810.2854284060035,809.2354990748847,811.3353623515618
752.7926738332192,794.9037646438273,808.9449311189531,807.8949835403037,809.9948831455669
751.4513567703456,793.5629330162886,807.6040947776073,806.5541276433806,808.6540661809751
750.11027482351,792.222426867503,806.2636032792838,805.213615367546,807.3135952697563
748.769079692906,790.8818994315925,804.9231109567729,803.8731011168343,805.9731246740863
747.4274229628118,789.5410039208776,803.5822721420207,802.5322392932575,804.6323086564631
746.0859864265656,788.2004231604709,802.2417707336117,801.1917138832798,803.2918310283721
744.7444216993434,786.8598103695182,800.9012610646546,799.8511792903412,801.9513460532116
743.4027237791703,785.5191619671848,799.5607406565742,798.5106331119528,800.6108511769942
742.0608876640704,784.1784743726361,798.2202070307955,797.1700729456246,799.2703438457315
740.7185647646133,782.8374007503126,796.8793145039294,795.8291531769992,797.9294783076117
739.3764372151511,781.4966240165028,795.5387470020565,794.4885578222039,796.588938399471
738.034156463555,780.1557973470569,794.1981588461247,793.1479412713855,795.2483783736673
736.6913738007967,778.8145738666836,792.8572043359283,791.8069578929825,793.907452461955
735.3487715965816,777.4736365683844,791.5165674292774,790.4662917356844,792.5668445320758
734.0060011830255,776.132638591028,790.1759024322065,789.1255971742794,791.2262088219157
732.6630575581521,774.7915763537793,788.8352068661402,787.7848718062775,789.8855427774864
731.3199357199863,773.450446275804,787.4944782525033,786.4441132291897,788.5448438448003
729.9762867345628,772.1089013972571,786.1533708503716,785.1029757704805,787.2037662151454
728.6327934150586,770.7676248756641,784.8125686958205,783.7621435577123,785.862993833927
727.2891107392074,769.4262713415014,783.4717268669624,782.4212717360638,784.5221817127972
725.9449089553455,768.0845016359086,782.1305036414356,781.0800186449623,783.1809880682234
724.6008943494929,766.7430084629815,780.7895879733888,779.7390733219341,781.8401017718179
723.2567410766229,765.4014542533104,779.4486389595354,778.3980949241035,780.4991818605049
721.9124673196777,764.0598448555301,778.1076589790471,777.0570858987167,779.1582306460763
720.5680912615995,762.718186118276,776.7666504110957,775.7160486930211,777.8172504403242
719.2232868722785,761.3761403873604,775.4252723048251,774.3746424170921,776.4759002320865
717.8787607462091,760.0344005081768,774.0842136936669,773.0335561868708,775.1348689731196
716.5341868724893,758.692628836923,772.7431336331707,771.692449118708,773.7938156587969
715.1892391913162,757.3504876972371,771.4016911569178,770.3509803076125,772.4523992619028
713.8446243705362,756.008669983353,770.0605753312916,769.0098389015379,771.1113087680759
712.5000163555874,754.6668380248019,768.7194451944515,767.6686839998885,769.7702031548603
711.1554333294127,753.3249976702192,767.3783031255695,766.3275180499113,768.4290847340477
709.810893474954,751.9831547682402,766.0371515038172,764.986343498853,767.0879558174298
708.4660707760368,750.6409716354981,764.6956493490245,763.6448194291455,765.7464753628756
707.1216718365284,749.2991411877239,763.3544857581245,762.3036350170299,764.4053323888154
705.7773706222185,747.9573257399567,762.0133197524789,760.9624493462002,763.0641858549175
704.4328411989792,746.6151876225975,760.6718103509762,759.6209214990613,761.7226947172038
703.0887900205504,745.273419728334,759.3306466542595,758.2797406537882,760.3815479995737
701.7448911208022,743.931684381481,757.9894876809219,756.938565892168,759.0404046580735
700.4011626826765,742.5899874306735,756.6483358101348,755.5973996614475,757.6992670044945
699.057622889116,741.2483347245469,755.3071934210705,754.256244408874,756.3581373506287
697.7139460358478,739.906388646399,753.9657195432325,752.9147592293392,755.0166746612595
696.3708381401789,738.5648419906113,752.6246032590791,751.5736332791765,753.6755679457234
695.0279734425575,737.2233571269081,751.2835035947732,750.2325256495276,752.3344761658677
693.6850264324976,735.8815964882963,749.9420795934976,748.8910954502966,750.9930582988366
692.3427027536986,734.5402527742309,748.6010203121793,747.5500318096724,749.652003331021
691.0006768264291,733.1989883996533,747.2599847888325,746.2089938319288,748.3109702348535
689.6589668336313,731.8578092131986,745.9189754026297,744.867983964313,746.9699613221258
688.3175909582476,730.5167210635025,744.5779945327421,743.5270046540717,745.6289789046298
686.9762241058736,729.1753864963682,743.2367012573354,742.1857150486605,744.287681991947
685.6355711113231,727.8344979931452,741.8957845664178,740.8448042042985,742.9467595085528
684.2953067876687,726.4937180740836,740.5549035299401,739.5039312596778,741.6058704563573
682.9551063460333,725.1527093706391,739.2137172543687,738.1627553923056,740.2646738715096
681.6156740241431,723.8121641973497,737.8729146749375,736.8219656001779,738.9238586271264
680.276684926631,722.4717451556252,736.5321548880709,735.4812210501586,737.5830837499094
678.9381572364398,721.131458094101,735.1914402729406,734.1405241894951,736.2423515516509
677.6001091365115,719.7913088614123,733.8507732087184,732.7998774654333,734.9016643441422
676.2622164402769,718.4509602617126,732.5098128612204,731.4589401180972,733.5606812196474
674.9251822041234,717.1111042716313,731.169248050027,730.1184010233832,732.2200909420127
673.5886821117149,715.7714036577892,729.8287379278665,728.7779194076381,730.879552591095
672.2523923937492,714.4315213459319,728.4879417034757,727.437154556076,729.5387252999324
670.9170152860461,713.092149073996,727.1475481124205,726.0967952562922,728.198297752599
669.5822268755703,711.7529497257024,725.8072163485226,724.756500777845,726.8579290679506
668.2480453452644,710.4139291496863,724.4669487909541,723.416273567981,725.5176215577789
666.9144888780704,709.0750931945834,723.1267478188868,722.076116073947,724.1773775338756
665.5812344932203,707.7361050187378,721.7862727247734,720.7356876686365,722.8368562090699
664.2489828727423,706.3976559023762,720.4462120797934,719.3956769674179,721.4967461108122
662.9174108688584,705.0594089543308,719.1062251584391,718.0557433243965,720.1567064347905
661.5861960298075,703.721027490481,717.7659713107056,716.7155461725952,718.8163964488142
660.2560236719562,702.3831982006506,716.4261374222143,715.3757723672918,717.476503068567
658.9264995544959,701.0455629475865,715.0863749616688,714.0360731122843,716.1366780250332
657.5975559306839,699.7081019009705,713.7466768744355,712.6964410045514,714.7969146085151
656.2691250537767,698.3707952304844,712.4070361058815,711.3568686410712,713.4572061093146
654.940799242083,697.0332807833714,711.0671026500895,710.0170056858191,712.1172028483486
653.6131907066667,695.6962234010214,709.7275553651548,708.677530612338,710.777584064455
652.2858916605823,694.3592608987702,708.3880442331945,707.3380930721507,709.4380000670675
650.9584946338425,693.0220311891235,707.0482192733507,705.9983427552178,708.098101201246
649.631611362065,691.6851989677139,705.7087592881803,704.6589580774236,706.7585666523884
648.3048343220464,690.3484021303718,704.3693142902791,703.3195887219633,705.4190467592254
646.9780957670442,689.0116208467799,703.0298772250146,701.9802272858158,704.0795348120595
645.651327950315,687.6748352866192,701.6904410377532,700.6408663659591,702.740024101192
644.3241234077755,686.3376833696142,700.3506557532771,699.3011556577543,701.400164977561
642.9970937765095,685.0008297515749,699.0112001538326,697.9617735568092,700.0606366062198
641.6698316259437,683.663912360936,697.6717242666866,696.6223697611958,698.7210893403658
640.3419292873745,682.3265690608208,696.3318780983279,695.2825939467674,697.3811735138465
639.0139987550884,680.9894646050092,694.9923404621702,693.9431245424599,696.0415683207419
637.6856324459297,679.6522368805668,693.6527613726055,692.6036112325247,694.701924102313
636.356762613155,678.3148660571754,692.3131337750008,691.2640466139395,693.3622341488622
635.0273215100216,676.9773323045175,690.9734506147236,689.924423283684,692.0224917506915
633.6969007798783,675.6392732898355,689.63336183165,688.5843908471895,690.6823471788059
632.3661137061811,674.3013541332842,688.2935463633877,687.2446278647581,689.3424797443803
631.0345521045518,672.9632125514352,686.9536541667477,685.904783959696,688.0025397344234
629.7018069973948,671.6244860330662,685.6133351199605,684.5645086724351,686.6621773616167
628.3684928580186,670.2858400400297,684.2732682785067,683.2244806875918,685.3220720486281
627.0342009331373,668.9469121256639,682.93310354297,681.8843495691586,683.9818740292967
625.6988634760082,667.607682459651,681.5928338587172,680.5441079141139,682.6415765939244
624.3624127398883,666.2681312116728,680.2524521711158,679.2037483194363,681.3011730328135
623.0244383653834,664.9278954715282,678.9116082195308,677.8629201793154,679.9603134270836
621.6855575026726,663.5876414736423,677.5709813281425,676.5223024613749,678.6196774539372
620.345360103398,662.2470063977598,676.2302212677001,675.181544592842,677.2789152242406
619.0034347708956,660.9056270333525,674.8889776725708,673.8402958574113,675.937676719557
617.6604006778466,659.5641702002679,673.5479300715126,672.4992354380095,674.5966418110477
616.315846790661,658.2222727931561,672.2067281356956,671.1580126570561,673.2554605151771
614.9697053625955,656.8799149816986,670.8653648104865,669.8166201115291,671.9141261222467
613.6219086469071,655.5370769355773,669.5238330412524,668.4750503984072,670.5726319225588
612.2720431712825,654.1933948421854,668.1817822512426,667.132952579323,669.2306276973953
610.9207321729762,652.8495367001417,666.8398923824197,665.7910062718507,667.888793709891
609.5675626294741,651.5051388274035,665.4978129038668,664.4488605858243,666.546779784818
608.212119614868,650.159836989172,664.1551930904815,663.1061644268867,665.2042355626678
606.8550292215647,648.814300013217,662.812713175511,661.7635977189045,663.8618415830015
605.4958770254923,647.4681638105361,661.4700224851051,660.420809421408,662.5192475349546
604.1345952799081,646.1214085508111,660.1271139646313,659.0777921313761,661.1764467088294
602.7711162380693,644.7740144037241,658.7839805594564,657.7345384457874,659.833432394928
601.4050222045672,643.4256163292996,657.440271261108,656.3906969724029,658.4898539647413
600.0369447240835,642.0768847402758,656.0966668605425,655.0469482213767,657.1463924872428
598.6664666897718,640.7274547678585,654.7528164095706,653.7029408638338,655.8026973911564
597.2931685363045,639.3769608280184,653.408368708016,652.3583233060531,654.4584178659505
595.9176854961643,638.0260744063698,652.0640049248245,651.0137764554671,653.11423533949
594.5395986446233,636.674430105297,650.7193739255217,649.6689487874053,651.7697990636303
593.1588936628185,635.3220236477209,649.3744741405527,648.3238386629017,650.4251075375355
591.7757699434075,633.9689129695197,648.0293259406736,646.9784674992142,649.0801800958169
590.3901253943399,632.6148249053423,646.6836107184711,645.6325179530993,647.7346968794026
589.0029222039157,631.2605261199881,645.3380432092258,644.2867062055509,646.3893711921684
587.6140588022231,629.9057436001739,643.9923048591922,642.9407149697169,645.043883226014
586.2234319190778,628.5502038372103,642.6460769396624,641.594226774926,643.6979130066453
584.8320062932443,627.1946742390229,641.300074448367,640.2479580779069,642.3521740872354
583.4396789824813,625.8388813925415,639.9539786904057,638.9015914435009,641.0063465256096
582.0467028073261,624.4828987868833,638.6078155216127,637.5551540530215,639.660454865241
580.6533305883162,623.1267999111652,637.2616107978218,636.2086730877816,638.3145236496032
579.2594583864484,621.7703110608165,635.915045720579,634.8618310039303,636.9682328380557
577.8660526017715,620.4142001296017,634.5688354602062,633.5153444393517,635.6222961478829
576.4730092995784,619.058193414493,633.2226612189577,632.1688958509118,634.2763935391448
575.0802249163912,617.7020173191929,631.876204235976,630.8221677343678,632.9302050068051
573.6886652954031,616.346439577367,630.5301796262501,629.4758766692648,631.5844442157918
572.2982266832371,614.9911865378128,629.1842686097705,628.1297051311988,630.2387911429171
570.9091619004305,613.6363316896471,627.8384970423713,626.783680301483,628.8932703316542
569.5217237675213,612.2819485219877,626.492890779887,625.437829361431,627.547906325477
568.135810641559,610.9277639953187,625.1471312565245,624.0918350120064,626.2023793043726
566.7523848483287,609.5745448238185,623.8019332302425,622.7464134571377,624.8574025946407
565.3713442313336,608.22201781899,622.4569780829971,621.4012473428313,623.512656326698
563.992589076811,606.8699105012054,621.1119474454849,620.056019576698,622.1678208669641
562.6170780463669,605.5189885213158,619.7675557025462,618.7114459702508,620.8236091877268
561.244710718497,604.1689791942636,618.4234844127662,617.3672093552644,619.4797015869825
559.8757399137384,602.8199560091657,617.0797594319791,616.0233369130522,618.1361226082048
558.5104184526283,601.4719924551393,615.7364066160192,614.6798558249274,616.7928967948671
557.148651131278,600.1248173620024,614.3931080554589,613.3364494820937,615.449704949783
555.7913879151932,598.7791938557916,613.0505772484854,611.9938327636745,614.1072592038712
554.4385325690955,597.4348504668184,611.7084961804612,610.6516889502414,612.7652402601034
553.0899933719433,596.0915170364008,610.3665472973396,609.3097018066826,611.4233292585519
551.7467135177427,594.7499547240225,609.0254434064062,607.9685854856307,610.0822376744699
550.4086000598678,593.4098930150473,607.684866828544,606.6280236204638,608.7416465292356
549.0759058188559,592.071405398592,606.344843419587,605.2880433924946,607.4015803663223
547.7488836152443,590.7345653637736,605.0053990353695,603.9486719830368,606.0620637292035
546.427448827212,589.3991048140203,603.6662168465324,602.6095939189579,604.7227784457162
545.1125307739718,588.0657808786742,602.3280082440858,601.2715218637279,603.3844346470042
543.8040432844704,586.7343250111307,600.9904562405005,599.9341401779078,602.0467140107904
542.5019067733948,585.4044705779323,599.6532445206913,598.5971339290874,600.7092988529984
541.2070406811367,584.0769718386402,598.3170834669812,597.2612147201709,599.372898347451
539.9193636789558,582.7515616533167,596.9816565862545,595.9260674315627,598.0371946411058
538.6391285873898,581.4283135110788,595.6469897343457,594.5917192445766,596.7022122774363
537.3665882269758,580.1073009010438,594.3131087670886,593.2581973405255,595.3679757999158
536.1016727009677,578.788260004526,592.9796983588964,591.9251878273653,594.0341684636027
534.8452823962709,577.471939545619,591.6474669461944,590.5934002620642,592.7014975954693
533.5973453490648,576.1580751050805,590.3160989922661,589.2625205305966,591.3696462501887
532.3577982527719,574.8464047789528,588.9852798446904,587.9322354486784,590.038298321733
531.1275285081555,573.537673518322,587.6557166134218,586.6032531786368,588.7081598780998
529.9064705473677,572.231618762225,586.3270944150488,585.2752602933274,587.378914594023
528.6948771909465,570.9283139997797,584.9994391054059,583.9482839740638,586.0505870129765
527.493001259429,569.6278327201026,583.6727765403273,582.6223514021591,584.7232016784337
526.3007748024711,568.3299380831307,582.3468233781912,581.2971812423793,583.396473252969
525.1189764322241,567.0354754154329,581.0224344435782,579.9736316120739,582.0712532546452
523.9474510829667,565.7443145091461,579.6994762747894,578.6515734092228,580.747403849635
522.7860542098975,564.4563285378442,578.3778168754179,577.3308790592231,579.4247886077793
521.635531734761,563.1723792357895,577.0583389054766,576.0124348951108,578.1042864969866
520.49573642456,561.8923388535295,575.7409099231214,574.6961128797158,576.7857606586712
519.3668196476924,560.6164097599224,574.4257359846887,573.382123235519,575.4694129686599
518.2489327725559,559.3447943238257,573.1130231465144,572.070676185001,574.1554453027791
517.1419452773631,558.0773711114002,571.8026424308713,570.7616472738961,572.8437241484359
516.0465752316047,556.8149913307969,570.4954707241952,569.4559168636822,571.5351228968368
514.9626892315233,555.5575323660877,569.1913783395393,568.1533597684099,570.2295073485317
513.8901656345303,554.3048766409055,567.8902387435868,566.8538540520211,568.9267463618221
512.8297048679876,553.0578678038993,566.592924092228,565.558275201054,567.6277087411897
511.781182291068,551.816386941171,565.2993069846515,564.2665003862915,566.3322625030146
510.7447492721695,550.5806364215784,564.0095934771934,562.9787398302147,565.0406095231239
509.72055717968965,549.3508186139795,562.7239896261899,561.6952037553044,563.7529516773437
508.7084999443438,548.1268234072227,561.4423740273987,560.4157754989031,562.4691628091213
507.70924704065965,546.9094797785879,560.1656088423427,559.1413202698628,561.1901020110779
506.72268920734024,545.6986760203303,558.8935715355033,557.8717202432517,559.9156420263088
505.74873018450523,544.4943071223902,557.6261444133287,556.6068625665029,558.645660309745
504.7880199441419,543.2971920153063,556.3641823742357,555.3476049897627,557.3810088861034
503.84045891808955,542.1072239369836,555.1075664351213,554.0938333367147,556.1215639548996
502.9061984747458,540.9246052562798,553.8565026523213,552.8457578298404,554.86752739196
501.9853899825086,539.749538342053,552.6111970821718,551.6035886916201,553.6191010731117
501.07795430509157,538.5819277220867,551.3715392705914,550.367220495951,552.3761695060094
500.18450736106735,537.4225735102945,550.1383699008392,549.1374964091664,551.1395708683527
499.3049665120958,536.2713782233631,548.9115769654994,547.914309412299,549.9091881539504
498.4392633615006,535.1282527337869,547.6910549874611,546.6975591812181,548.684910722532
497.5879924649025,533.9939846214996,546.4776348543177,545.4880788397874,547.4675672027121
496.7510818073031,532.8684825924566,545.2712093773488,544.2857663095365,546.2570452853103
495.9286827571,531.7519490155157,544.0719846128901,543.0908318129465,545.0535468461528
495.1209466826911,530.6445862595349,542.8801666172783,541.9034855724982,543.8572737610667
494.32782386128474,529.5463168074814,541.6956592632672,540.7236368435904,542.6681245100846
493.5498716945064,528.457905277406,540.5192750025021,539.5520998601438,541.4869097396451
492.7870366474683,527.3792717266743,539.3509157323457,538.3887818541019,540.3135260024405
492.0392806671948,526.3103462265846,538.1904915688026,537.2335984747182,539.1478778711668
491.30713793194775,525.251878373968,537.038802635292,536.0873513296789,537.9907639619996
490.590566460387,524.2037956590788,535.8957569141517,534.9499538833071,536.8420867652304
489.8897176209104,523.1663004507748,534.7615604617182,533.8216163580838,535.7020481566861
489.2047427819158,522.1395951179143,533.6364193343275,532.7025489764899,534.5708500121934
488.5356241146016,521.1236234148955,532.5202551082441,531.5926791203717,533.4484080923303
487.8828555426549,520.119107831411,531.4138452501497,530.4927852013453,532.3354988959393
487.2464151151363,519.1259892817535,530.3171089388602,529.4027921472114,531.2320358427633
486.6262976032662,518.144220352272,529.2299752601709,528.3226350255533,530.1379420266336
486.0229718469561,517.1745060242004,528.1532068199765,527.2530770379877,529.05397943495
485.43642837901996,516.2167958883391,527.0867301483487,526.1940506365775,527.9800686656447
